,customerID,email,promocode
1,2185,sureshravi@gmail.com,off3
15,1215,sureshravi@gmail.com,off3
16,1646,sureshravi@gmail.com,off2
18,2432,sureshravi@gmail.com,off3
19,2845,sureshravi@gmail.com,off3
21,1264,sureshravi@gmail.com,off1
28,2878,sureshravi@gmail.com,off1
31,2117,sureshravi@gmail.com,off3
40,2614,sureshravi@gmail.com,off3
41,1340,sureshravi@gmail.com,off1
49,827,sureshravi@gmail.com,off3
50,355,sureshravi@gmail.com,off3
52,162,sureshravi@gmail.com,off3
53,996,sureshravi@gmail.com,off2
54,835,sureshravi@gmail.com,off3
58,118,sureshravi@gmail.com,off3
68,649,sureshravi@gmail.com,off3
72,1955,sureshravi@gmail.com,off3
74,174,sureshravi@gmail.com,off2
75,2880,sureshravi@gmail.com,off1
77,1250,sureshravi@gmail.com,off3
78,464,sureshravi@gmail.com,off3
80,224,sureshravi@gmail.com,off3
91,2263,sureshravi@gmail.com,off3
92,651,sureshravi@gmail.com,off3
96,410,sureshravi@gmail.com,off3
98,688,sureshravi@gmail.com,off3
104,1808,sureshravi@gmail.com,off3
105,2517,sureshravi@gmail.com,off3
109,1640,sureshravi@gmail.com,off3
110,411,sureshravi@gmail.com,off3
117,1949,sureshravi@gmail.com,off3
124,2264,sureshravi@gmail.com,off3
127,774,sureshravi@gmail.com,off3
130,496,sureshravi@gmail.com,off3
131,2380,sureshravi@gmail.com,off2
135,354,sureshravi@gmail.com,off3
139,127,sureshravi@gmail.com,off3
143,1917,sureshravi@gmail.com,off2
147,2337,sureshravi@gmail.com,off3
148,772,sureshravi@gmail.com,off3
151,2087,sureshravi@gmail.com,off3
153,275,sureshravi@gmail.com,off3
159,228,sureshravi@gmail.com,off3
163,211,sureshravi@gmail.com,off3
164,2168,sureshravi@gmail.com,off3
165,54,sureshravi@gmail.com,off3
166,2096,sureshravi@gmail.com,off3
168,2832,sureshravi@gmail.com,off3
169,2209,sureshravi@gmail.com,off3
174,2162,sureshravi@gmail.com,off3
176,586,sureshravi@gmail.com,off3
180,105,sureshravi@gmail.com,off1
186,2407,sureshravi@gmail.com,off3
188,2406,sureshravi@gmail.com,off3
196,2270,sureshravi@gmail.com,off3
199,1687,sureshravi@gmail.com,off3
200,382,sureshravi@gmail.com,off3
201,1339,sureshravi@gmail.com,off3
206,2449,sureshravi@gmail.com,off3
209,1074,sureshravi@gmail.com,off3
210,2106,sureshravi@gmail.com,off3
214,65,sureshravi@gmail.com,off3
217,2472,sureshravi@gmail.com,off2
222,938,sureshravi@gmail.com,off3
227,1473,sureshravi@gmail.com,off3
233,2245,sureshravi@gmail.com,off3
249,858,sureshravi@gmail.com,off3
256,1310,sureshravi@gmail.com,off3
259,1033,sureshravi@gmail.com,off3
268,2838,sureshravi@gmail.com,off3
269,856,sureshravi@gmail.com,off1
271,1994,sureshravi@gmail.com,off3
284,111,sureshravi@gmail.com,off2
285,934,sureshravi@gmail.com,off3
287,1773,sureshravi@gmail.com,off3
288,1162,sureshravi@gmail.com,off3
292,2049,sureshravi@gmail.com,off3
295,386,sureshravi@gmail.com,off3
298,2429,sureshravi@gmail.com,off2
301,1809,sureshravi@gmail.com,off3
306,1559,sureshravi@gmail.com,off3
307,40,sureshravi@gmail.com,off3
310,2630,sureshravi@gmail.com,off3
311,819,sureshravi@gmail.com,off3
316,1211,sureshravi@gmail.com,off3
324,1580,sureshravi@gmail.com,off3
329,1256,sureshravi@gmail.com,off3
330,239,sureshravi@gmail.com,off3
333,2888,sureshravi@gmail.com,off3
334,1968,sureshravi@gmail.com,off2
344,2816,sureshravi@gmail.com,off3
348,2925,sureshravi@gmail.com,off3
350,1928,sureshravi@gmail.com,off2
354,366,sureshravi@gmail.com,off3
360,1737,sureshravi@gmail.com,off3
370,2940,sureshravi@gmail.com,off3
372,9,sureshravi@gmail.com,off2
375,928,sureshravi@gmail.com,off3
377,612,sureshravi@gmail.com,off3
388,167,sureshravi@gmail.com,off3
389,2721,sureshravi@gmail.com,off3
400,1791,sureshravi@gmail.com,off3
401,1179,sureshravi@gmail.com,off3
402,2247,sureshravi@gmail.com,off3
407,1307,sureshravi@gmail.com,off1
409,1702,sureshravi@gmail.com,off1
417,1929,sureshravi@gmail.com,off3
423,547,sureshravi@gmail.com,off2
437,1619,sureshravi@gmail.com,off3
438,1506,sureshravi@gmail.com,off3
440,2040,sureshravi@gmail.com,off3
441,261,sureshravi@gmail.com,off3
442,1985,sureshravi@gmail.com,off3
446,1342,sureshravi@gmail.com,off3
448,892,sureshravi@gmail.com,off2
450,1174,sureshravi@gmail.com,off3
